dataset_name,branch,signal,precision,recall,false_attraction_rate,precision_mean,precision_std,recall_mean,recall_std,false_attraction_rate_mean,false_attraction_rate_std,n_runs,epochs_used
PAMAP2,inter,binary,0.260 +/- 0.023,0.771 +/- 0.050,0.324 +/- 0.021,0.260,0.023,0.771,0.050,0.324,0.021,4,10
PAMAP2,inter,prior,0.257 +/- 0.087,0.454 +/- 0.163,0.275 +/- 0.190,0.257,0.087,0.454,0.163,0.275,0.190,4,10
PAMAP2,inter,combined,0.302 +/- 0.063,0.409 +/- 0.113,0.149 +/- 0.065,0.302,0.063,0.409,0.113,0.149,0.065,4,10
PAMAP2,intra,binary,0.266 +/- 0.023,0.638 +/- 0.062,0.260 +/- 0.032,0.266,0.023,0.638,0.062,0.260,0.032,4,10
PAMAP2,intra,prior,0.257 +/- 0.087,0.454 +/- 0.163,0.275 +/- 0.190,0.257,0.087,0.454,0.163,0.275,0.190,4,10
PAMAP2,intra,combined,0.313 +/- 0.070,0.403 +/- 0.133,0.143 +/- 0.070,0.313,0.070,0.403,0.133,0.143,0.070,4,10
PAMAP2,temporal,binary,0.246 +/- 0.020,0.769 +/- 0.009,0.347 +/- 0.014,0.246,0.020,0.769,0.009,0.347,0.014,4,10
PAMAP2,temporal,prior,0.230 +/- 0.049,0.424 +/- 0.054,0.263 +/- 0.055,0.230,0.049,0.424,0.054,0.263,0.055,4,10
PAMAP2,temporal,combined,0.302 +/- 0.046,0.380 +/- 0.038,0.136 +/- 0.029,0.302,0.046,0.380,0.038,0.136,0.029,4,10
